product_id,name,image,display_size,storage_gb,key_selling_points,cam_ung,material,laptop_special_feature,laptop_nganh_hoc,ram_storage,ram_max_support,product_state,storage_max_support,nhu_cau_su_dung,manufacturer,filter_label,cpu_brand,is_installment,filter_id,warranty_info,product_weight,url_path,url_key,os_version,display_width,vga_brand,bluetooth_version,has_bluetooth,display_height,ram_type,cpu_series,o_cung_laptop,vga_type,ports_slots,width_mm,height_mm,depth_mm,display_type,battery_capacity,laptop_camera,laptop_cong_nghe_am_thanh,ram_slots,cpu_model,ram_speed,cpu_cores,laptop_tam_nen_man_hinh,root_price,discounted_price,cpu_max_speed,refresh_rate,cpu_threads,cpu_speed,vga_vram
75443,Laptop Gaming Acer Nitro V ANV15-51-58AN,/t/e/text_ng_n_9__4_4.png,15.6,512.0,"['CPU Intel Core i5-13420H cân mọi tựa game từ AAA đến game Esport.', 'GPU GeForce RTX 2050 mới nhất cho đồ họa cực đỉnh, chiến mọi tựa game với mức cài đặt cao.', 'RAM 16 GB DDR5 5200Mhz, khả năng xử lý đa nhiệm và đa tác vụ của máy càng được tăng tốc tối đa.', 'Màn hình 15.6 inch Full HD, tần số quét chuẩn chiến game 144Hz.', 'Ổ cứng 512GB PCIE rộng rãi, lưu mọi tựa game dễ dàng.']",0,vỏ nhựa,['Ổ cứng SSD'],['lập trình'],16.0,32.0,"['Nguyên hộp, đầy đủ phụ kiện từ nhà sản xuất', 'Bảo hành pin và bộ sạc 12 tháng']",2048.0,['gaming'],acer,"Acer|512GB|Gaming|16GB|Intel Core i5|Trên 15 inch|Full HD|NVIDIA GeForce Series|RTX 2050|Đồ hoạ 3D, chỉnh sửa video|Lập trình ",intel,0,manufacturer|hdd_sdd|nhu_cau_su_dung|laptop_ram|laptop_cpu|laptop_screen_size_filter|laptop_resolution_filter|laptop_vga_filter|laptop_filter_gpu|laptop_filter_tac_vu_su_dung|laptop_nganh_hoc,['Bảo hành 24 tháng tại trung tâm bảo hành Chính hãng. 1 đổi 1 trong 30 ngày nếu có lỗi phần cứng từ nhà sản xuất.'],2.1,laptop-gaming-acer-nitro-v-anv15-51-58an.html,laptop-gaming-acer-nitro-v-anv15-51-58an,windows 11,1920.0,nvidia,5.1,1,1080.0,DDR5,core i5,"512GB PCIe NVMe SSD (2 khe cắm, nâng cấp tối đa 2TB SSD)",card rời,1x USB Type-C <br> 3x USB-A <br> 1x Ethernet (RJ-45) <br> 1x DC-in jack for AC adapter<br> 1x HDMI 2.1 (hỗ trợ HDCP)<br> 1x 3.5 mm headphone/speaker jack,362.3,239.9,22.9,250 nits<br>Acer ComfyView LED-backlit TFT LCD<br>45% NTSC,57.0,hd,DTS® X:Ultra,2.0,13420H,5200.0,8.0,Tấm nền IPS,21490000.0,16390000.0,4.6,144.0,12.0,,4.0
49568,Apple MacBook Air M2 2024 8CPU 8GPU 16GB 256GB I Chnh hng Apple Vit Nam,/m/a/macbook_air_m2_2_1_1.jpg,13.6,256.0,"['Thiết kế sang trọng, lịch lãm - siêu mỏng 11.3mm, chỉ 1.24kg', 'Hiệu năng hàng đầu - Chip Apple m2, 8 nhân GPU, hỗ trợ tốt các phần mềm như Word, Axel, Adoble Premier', 'Đa nhiệm mượt mà - Ram 16GB, SSD 256GB cho phép vừa làm việc, vừa nghe nhạc', 'Màn hình sắc nét - Độ phân giải 2560 x 1664 cùng độ sáng 500 nits', 'Âm thanh sống động - 4 loa tramg bị công nghệ dolby atmos và âm thanh đa chiều']",0,vỏ kim loại,[],"['lập trình', 'xã hội - kinh tế', 'đồ hoạ']",16.0,16.0,"['Máy mới 100%, đầy đủ phụ kiện từ nhà sản xuất. Sản phẩm có mã SA/A (được Apple Việt Nam phân phối chính thức).']",256.0,"['học tập - văn phòng', 'cao cấp - sang trọng']",apple,Apple|256GB|Học tập - Văn phòng|Cao cấp - Sang trọng|16GB|Apple M2|Khoảng 13 inch|Card Onboard,apple,0,manufacturer|hdd_sdd|nhu_cau_su_dung|nhu_cau_su_dung|laptop_ram|laptop_cpu|laptop_screen_size_filter|laptop_vga_filter,['1 ĐỔI 1 trong 30 ngày nếu có lỗi phần cứng nhà sản xuất. Bảo hành 12 tháng tại trung tâm bảo hành chính hãng Apple: CareS.vn'],1.27,macbook-air-m2-2022-16gb.html,macbook-air-m2-2022-16gb,macos,2560.0,apple,0.0,1,1664.0,LPDDR5,m2,256GB,card tích hợp,2 x Thunderbolt 3<br>Jack tai nghe 3.5 mm<br>MagSafe 3,304.1,215.0,11.3,Liquid Retina Display,52.6,full hd,"3 microphones, 4 Loa",0.0,,6400.0,8.0,Tấm nền IPS,24990000.0,21190000.0,,,,,
101832,MacBook Air M4 13 inch 2025 10CPU 8GPU 16GB 256GB,/t/e/text_ng_n_2__9_14.png,13.6,256.0,"['MacBook Air 13 M4 2025 sở hữu thiết kế siêu mỏng nhẹ với màu sắc sang trọng, độ dày chỉ 1.13 cm và trọng lượng 1.24 kg.', 'Máy được trang bị chip M4 thế hệ mới nhất của Apple với 10 CPU và 8 GPU, mang lại hiệu năng xử lý mạnh mẽ và khả năng đồ họa ấn tượng.', 'RAM 16GB và ổ cứng SSD 256GB giúp đa nhiệm mượt mà, khởi động nhanh chóng và lưu trữ đủ dùng cho công việc hàng ngày.', 'Màn hình Liquid Retina 13.6 inch với độ phân giải 2560x1664 pixels cho hình ảnh sắc nét, màu sắc chân thực và độ sáng cao lên đến 500 nits.']",0,vỏ kim loại,"['Wi-Fi 6', 'Bảo mật vân tay']","['lập trình', 'xã hội - kinh tế', 'đồ hoạ']",16.0,16.0,"['Máy mới 100%, đầy đủ phụ kiện từ nhà sản xuất. Sản phẩm có mã SA/A (được Apple Việt Nam phân phối chính thức).']",256.0,"['học tập - văn phòng', 'đồ họa - kỹ thuật', 'cao cấp - sang trọng', 'mỏng nhẹ', 'laptop sáng tạo nội dung']",apple,"Apple|256GB|Học tập - Văn phòng|Đồ họa - Kỹ thuật|Cao cấp - Sang trọng|Mỏng nhẹ|Laptop sáng tạo nội dung|16GB|Apple M4|Khoảng 13 inch|2K (Quad HD)|Card Onboard|Wi-Fi 6|Bảo mật vân tay|Đồ hoạ 3D, chỉnh sửa video|Đồ hoạ 2D, edit hình ảnh|Lập trình |Xã hội - kinh tế|Đồ hoạ|Apple Intelligence",apple,0,manufacturer|hdd_sdd|nhu_cau_su_dung|nhu_cau_su_dung|nhu_cau_su_dung|nhu_cau_su_dung|nhu_cau_su_dung|laptop_ram|laptop_cpu|laptop_screen_size_filter|laptop_resolution_filter|laptop_vga_filter|laptop_special_feature|laptop_special_feature|laptop_filter_tac_vu_su_dung|laptop_filter_tac_vu_su_dung|laptop_nganh_hoc|laptop_nganh_hoc|laptop_nganh_hoc|laptop_cong_nghe_ai_filter,['1 ĐỔI 1 trong 30 ngày nếu có lỗi phần cứng nhà sản xuất. Bảo hành 12 tháng tại trung tâm bảo hành chính hãng Apple: CareS.vn'],1.24,apple-macbook-air-13-m4-10cpu-8gpu-16gb-256gb-2025.html,apple-macbook-air-13-m4-10cpu-8gpu-16gb-256gb-2025,macos,2560.0,apple,5.3,1,1664.0,LPDDR5X,m4,256GB,card tích hợp,Cổng sạc MagSafe 3<br> Jack cắm tai nghe 3.5 mm<br> Hai cổng Thunderbolt 4 (USB-C) hỗ trợ: Sạc  / DisplayPort / Thunderbolt 4 (lên đến 40Gb/s) / USB 4 (lên đến 40Gb/s),304.1,215.0,11.3,Màn hình Liquid Retina <br>Có đèn nền LED<br>Mật độ 224 pixel mỗi inch<br>Độ sáng 500 nit<br>Hỗ trợ một tỷ màu<br>Dải màu rộng (P3)<br>Công nghệ True Tone,53.8,full hd,"Hệ thống âm thanh bốn loa<br> Hỗ trợ Âm Thanh Không Gian khi phát nhạc hoặc video với Dolby Atmos trên loa tích hợp<br> Âm Thanh Không Gian với khả năng theo dõi chuyển động đầu chủ động khi sử dụng AirPods, AirPods Pro, và AirPods Max",0.0,,7500.0,10.0,Tấm nền IPS,26990000.0,26390000.0,,,,,120.0
91451,Laptop ASUS TUF Gaming A15 FA506NCR-HN047W,/t/e/text_ng_n_32__2_27.png,15.6,512.0,"['Trang bị bộ vi xử lý AMD Ryzen 7 7435HS, mang lại hiệu suất cao cho các tác vụ đa nhiệm và gaming.', 'Với GPU NVIDIA RTX 3050 4GB, laptop có khả năng xử lý đồ họa mượt mà, lý tưởng cho game thủ và thiết kế đồ họa.', 'Màn hình 15.6 inch Full HD với tần số quét 144Hz giúp hiển thị hình ảnh mượt mà và sống động trong các trò chơi.', '16GB RAM cho phép xử lý nhiều ứng dụng cùng lúc mà không gặp khó khăn, tăng cường trải nghiệm người dùng.', '512GB PCIe SSD cung cấp không gian lưu trữ rộng rãi và tốc độ truy xuất dữ liệu nhanh, giúp khởi động máy và ứng dụng nhanh chóng.']",0,vỏ nhựa,['Wi-Fi 6'],"['lập trình', 'đồ hoạ']",16.0,32.0,"['Nguyên hộp, đầy đủ phụ kiện từ nhà sản xuất', 'Bảo hành pin và bộ sạc 12 tháng']",1024.0,"['đồ họa - kỹ thuật', 'gaming']",asus,"ASUS|512GB|Đồ họa - Kỹ thuật|Gaming|16GB|AMD Ryzen 7|Trên 15 inch|Full HD|NVIDIA GeForce Series|Wi-Fi 6|RTX 3050|Đồ hoạ 3D, chỉnh sửa video|Lập trình |Đồ hoạ",amd,0,manufacturer|hdd_sdd|nhu_cau_su_dung|nhu_cau_su_dung|laptop_ram|laptop_cpu|laptop_screen_size_filter|laptop_resolution_filter|laptop_vga_filter|laptop_special_feature|laptop_filter_gpu|laptop_filter_tac_vu_su_dung|laptop_nganh_hoc|laptop_nganh_hoc,['Bảo hành 24 tháng tại trung tâm bảo hành Chính hãng. 1 đổi 1 trong 30 ngày nếu có lỗi phần cứng từ nhà sản xuất.'],2.3,laptop-asus-tuf-gaming-a15-fa506ncr-hn047w.html,laptop-asus-tuf-gaming-a15-fa506ncr-hn047w,windows 11,1920.0,nvidia,5.3,1,1080.0,DDR5,ryzen 7,"512GB PCIe 4.0 NVMe M.2 SSD (2 khe cắm M.2 hỗ trợ SATA hoặc NVMe, Nâng cấp tối đa 1TB)",card rời,1x RJ45 LAN <br> 1x USB 3.2 Gen 2 Type-C hỗ trợ DisplayPort<br> 3x USB 3.2 Gen 1 Type-A<br> 1x HDMI 2.1 TMDS<br>1x Giắc cắm âm thanh kết hợp 3.5 mm,359.0,256.0,22.8,"Độ sáng 250nits<br>Độ phủ màu NTSC 45%, SRGB 62.5%, Adobe 47.34%<br>Màn hình chống chói<br>Adaptive-Sync",48.0,hd,Công nghệ chống ồn AI<br> Phần mềm DTS<br> Chứng nhận Hi-Res (cho tai nghe),2.0,7435HS,5600.0,8.0,Tấm nền IPS,23490000.0,19090000.0,4.5,144.0,16.0,3.1,4.0
100664,Laptop HP 250 G9 AG2K7AT,/p/h/photo_2025-02-18_11-36-08_2_.jpg,15.6,512.0,"['Laptop mạnh mẽ với vi xử lý Intel Core i5-1235U, mang đến hiệu suất vượt trội cho công việc và giải trí.', 'Với 16GB RAM, máy có khả năng đa nhiệm mượt mà, giúp người dùng dễ dàng chạy nhiều ứng dụng cùng lúc.', 'Ổ cứng SSD 512GB PCIe cung cấp không gian lưu trữ rộng rãi và tốc độ truy xuất dữ liệu nhanh chóng.', 'Màn hình 15.6 inch Full HD cho hình ảnh sắc nét và rõ ràng, rất phù hợp cho việc xem phim và làm việc.']",0,vỏ nhựa,['Viền màn hình siêu mỏng'],['xã hội - kinh tế'],16.0,32.0,"['Nguyên hộp, đầy đủ phụ kiện từ nhà sản xuất', 'Bảo hành pin và bộ sạc 12 tháng']",512.0,['học tập - văn phòng'],hp,"HP|512GB|Học tập - Văn phòng|16GB|Intel Core i5|Trên 15 inch|Full HD|Card Onboard|Viền màn hình siêu mỏng|Đồ hoạ 2D, edit hình ảnh|Xã hội - kinh tế",intel,0,manufacturer|hdd_sdd|nhu_cau_su_dung|laptop_ram|laptop_cpu|laptop_screen_size_filter|laptop_resolution_filter|laptop_vga_filter|laptop_special_feature|laptop_filter_tac_vu_su_dung|laptop_nganh_hoc,['Bảo hành 12 tháng tại trung tâm bảo hành Chính hãng. 1 đổi 1 trong 30 ngày nếu có lỗi phần cứng từ nhà sản xuất.'],1.696,laptop-hp-250-g9-ag2k7at.html,laptop-hp-250-g9-ag2k7at,windows 11,1920.0,intel,5.2,1,1080.0,DDR4,core i5,512GB SSD PCIe (M.2 2280),card tích hợp,2 x USB 3.2 Gen 1 Type-A<br> 1 x USB 3.2 Gen 1 Type-C<br> 1 x HDMI<br> 1 x RJ45 (LAN)<br> 1 x Headphone/Microphone combo audio jack,358.0,242.0,19.9,Màn hình chống chói,41.04,hd,Realtek High Definition Audio,2.0,1235U,3200.0,10.0,Tấm nền IPS,19190000.0,14590000.0,4.4,,,,
78296,MacBook Air M3 13 inch 2024 8CPU 8GPU 16GB - 256GB sc 30W,/m/a/macbook-air-m3-13-inch-2024_1__4.png,13.6,256.0,"['Sức mạnh xử lý hàng đầu trên chip Apple M3 - Cân tốt mọi tác vụ từ đồ hoạ đến lập trình', 'Màn hình Liquid Retina 13,6 inch - Màu sắc hiển thị rực rỡ, sắc nét', 'Camera FaceTime HD 1080p - Đàm thoại, hội họp mọi lúc mọi nơi', 'Hỗ trợ sạc 30W - Nhanh chóng nạp đầy pin khi bạn cần']",0,vỏ kim loại,['Wi-Fi 6'],"['lập trình', 'xã hội - kinh tế', 'đồ hoạ']",16.0,16.0,"['Mới, đầy đủ phụ kiện từ nhà sản xuất']",256.0,"['học tập - văn phòng', 'cao cấp - sang trọng', 'mỏng nhẹ']",apple,"Apple|256GB|Học tập - Văn phòng|Cao cấp - Sang trọng|Mỏng nhẹ|16GB|Apple M3|Khoảng 13 inch|Card Onboard|Wi-Fi 6|Đồ hoạ 3D, chỉnh sửa video|Lập trình |Xã hội - kinh tế|Đồ hoạ",apple,0,manufacturer|hdd_sdd|nhu_cau_su_dung|nhu_cau_su_dung|nhu_cau_su_dung|laptop_ram|laptop_cpu|laptop_screen_size_filter|laptop_vga_filter|laptop_special_feature|laptop_filter_tac_vu_su_dung|laptop_nganh_hoc|laptop_nganh_hoc|laptop_nganh_hoc,['1 ĐỔI 1 trong 30 ngày nếu có lỗi phần cứng nhà sản xuất. Bảo hành 12 tháng tại trung tâm bảo hành chính hãng Apple: CareS.vn'],1.24,macbook-air-m3-13-inch-2024-16gb-256gb.html,macbook-air-m3-13-inch-2024-16gb-256gb,macos,2560.0,apple,0.0,0,1664.0,LPDDR5,m3,256GB SSD,card tích hợp,Cổng sạc MagSafe 3<br>Hai cổng Thunderbolt / USB 4,,,,True Tone,30.0,full hd,Dolby Atmos,0.0,,6400.0,8.0,,27990000.0,24490000.0,,,,,
87098,Laptop Acer Aspire Lite AL16-51P-55N7 NX.KX0SV.001,/t/e/text_ng_n_3__5_61.png,16.0,512.0,"['Sở hữu bộ vi xử lý Intel Core i5-1235U, đáp ứng tốt các tác vụ văn phòng và trải nghiệm đa phương tiện.', 'Với 16GB RAM DDR5 và ổ SSD PCIe 512GB, máy mang lại hiệu suất vượt trội, khởi động nhanh và tải ứng dụng mượt mà.', 'Màn hình 16 inch WUXGA cung cấp chất lượng hiển thị sắc nét và góc nhìn rộng, phù hợp cho các tác vụ văn phòng và giải trí.', 'Thiết kế gọn nhẹ, chỉ 1.8 kg giúp máy trở thành người bạn đồng hành lý tưởng cho di chuyển.']",0,vỏ nhựa,['Wi-Fi 6'],['xã hội - kinh tế'],16.0,64.0,"['Nguyên hộp, đầy đủ phụ kiện từ nhà sản xuất', 'Bảo hành pin và bộ sạc 12 tháng']",2048.0,['học tập - văn phòng'],acer,"Acer|512GB|Học tập - Văn phòng|16GB|Intel Core i5|Trên 15 inch|WUXGA|Card Onboard|Wi-Fi 6|Đồ hoạ 2D, edit hình ảnh|Xã hội - kinh tế",intel,0,manufacturer|hdd_sdd|nhu_cau_su_dung|laptop_ram|laptop_cpu|laptop_screen_size_filter|laptop_resolution_filter|laptop_vga_filter|laptop_special_feature|laptop_filter_tac_vu_su_dung|laptop_nganh_hoc,['Bảo hành 12 tháng tại trung tâm bảo hành Chính hãng. 1 đổi 1 trong 30 ngày nếu có lỗi phần cứng từ nhà sản xuất.'],1.8,laptop-acer-aspire-lite-al16-51p-55n7.html,laptop-acer-aspire-lite-al16-51p-55n7,windows 11,1920.0,intel,5.1,1,1200.0,DDR5,core i5,512GB PCIe NVMe SSD (Up to 2TB),card tích hợp,1x USB Type-C<br> 3x USB-A<br> 1x  HDMI<br> 1x 1.4 port with HDCP support<br> 1x 3.5 mm headphone/speaker jack,357.6,247.0,18.9,Độ sáng 300 nits<br>Độ phủ màu 45% NTSC<br>Acer ComfyView,58.0,full hd,Hai loa stereo tích hợp <br> Hai micrô kỹ thuật số tích hợp,2.0,1235U,2400.0,10.0,Tấm nền IPS,14990000.0,12891000.0,4.4,60.0,12.0,3.3,
79551,Laptop ASUS  Vivobook 14 OLED A1405VA-KM257W,/t/e/text_ng_n_16__5_19.png,14.0,512.0,"['Trang bị bộ vi xử lý Intel Core i5-13500H cung cấp hiệu suất xử lý đa nhiệm mạnh mẽ mọi tác vụ học tập, văn phòng', 'Màn hình 14.0 inch 2.8K OLED mang lại độ sắc nét cao, độ tương phản tuyệt vời và màu sắc sống động, tạo ra trải nghiệm hình ảnh đỉnh cao cho người dùng', '16GB RAM giúp xử lý tác vụ nhanh chóng và mượt mà cùng ổ cứng SSD PCIe dung lượng lớn 512GB, giúp lưu trữ dữ liệu một cách nhanh chóng và an toàn', 'Trang bị các tính năng tiện ích như webcam, Wifi, Bluetooth, cổng kết nối đa dạng để phục vụ nhu cầu làm việc và giải trí hàng ngày của người dùng']",0,vỏ nhựa,"['Wi-Fi 6', 'Bảo mật vân tay', 'Màn hình Oled']",['xã hội - kinh tế'],16.0,16.0,"['Nguyên hộp, đầy đủ phụ kiện từ nhà sản xuất', 'Bảo hành pin và bộ sạc 12 tháng']",512.0,['học tập - văn phòng'],asus,ASUS|512GB|Học tập - Văn phòng|16GB|Intel Core i5|Khoảng 14 inch|2.8K|Card Onboard|Wi-Fi 6|Bảo mật vân tay|Màn hình Oled|Xã hội - kinh tế,intel,0,manufacturer|hdd_sdd|nhu_cau_su_dung|laptop_ram|laptop_cpu|laptop_screen_size_filter|laptop_resolution_filter|laptop_vga_filter|laptop_special_feature|laptop_special_feature|laptop_special_feature|laptop_nganh_hoc,['Bảo hành 24 tháng tại trung tâm bảo hành Chính hãng. 1 đổi 1 trong 30 ngày nếu có lỗi phần cứng từ nhà sản xuất.'],1.6,laptop-asus-vivobook-14-oled-a1405va-km257w.html,laptop-asus-vivobook-14-oled-a1405va-km257w,windows 11,2880.0,intel,5.3,1,1800.0,DDR4,core i5,512GB M.2 NVMe PCIe 3.0 SSD,card tích hợp,1x USB 2.0 Type-A<br> 1x USB 3.2 Gen 1 Type-C hỗ trợ sạc<br> 2x USB 3.2 Gen 1 Type-A<br> 1x HDMI 1.4<br> 1x 3.5mm Combo Audio Jack<br> 1x DC-in,317.1,222.0,19.9,Thời gian phản hồi 0.2ms<br> Độ sáng tối đa 600 nits HDR<br> Độ phủ màu 100% DCI-P3<br> Gamut mapping<br> Display HDR True Black 600<br> 1.07 tỷ màu<br> Giảm 70% ánh sáng xanh<br> Màn hình chăm sóc mắt của SGS,50.0,hd,SonicMaster<br> Loa tích hợp<br> Micrô mảng tích hợp,2.0,13500H,,12.0,Tấm nền Oled,20990000.0,16590000.0,4.7,90.0,16.0,2.6,
101839,MacBook Air M4 13 inch 2025 10CPU 10GPU 16GB 512GB,/t/e/text_ng_n_2__9_14_1.png,13.6,512.0,"['MacBook Air 13 M4 2025 sở hữu thiết kế siêu mỏng nhẹ với màu sắc sang trọng, độ dày chỉ 1.13 cm và trọng lượng 1.24 kg.', 'Máy được trang bị chip M4 thế hệ mới nhất của Apple với 10 CPU và 10 GPU, mang lại hiệu năng xử lý mạnh mẽ và khả năng đồ họa ấn tượng.', 'RAM 16GB và ổ cứng SSD 512GB giúp đa nhiệm mượt mà, khởi động nhanh chóng và lưu trữ đủ dùng cho công việc hàng ngày.', 'Màn hình Liquid Retina 13.6 inch với độ phân giải 2560x1664 pixels cho hình ảnh sắc nét, màu sắc chân thực và độ sáng cao lên đến 500 nits.']",0,vỏ kim loại,"['Wi-Fi 6', 'Bảo mật vân tay']","['lập trình', 'xã hội - kinh tế', 'đồ hoạ']",16.0,16.0,"['Máy mới 100%, đầy đủ phụ kiện từ nhà sản xuất. Sản phẩm có mã SA/A (được Apple Việt Nam phân phối chính thức).']",512.0,"['học tập - văn phòng', 'đồ họa - kỹ thuật', 'cao cấp - sang trọng', 'mỏng nhẹ', 'laptop sáng tạo nội dung']",apple,"Apple|512GB|Học tập - Văn phòng|Đồ họa - Kỹ thuật|Cao cấp - Sang trọng|Mỏng nhẹ|Laptop sáng tạo nội dung|16GB|Apple M4|Khoảng 13 inch|2K (Quad HD)|Card Onboard|Wi-Fi 6|Bảo mật vân tay|Đồ hoạ 3D, chỉnh sửa video|Đồ hoạ 2D, edit hình ảnh|Lập trình |Xã hội - kinh tế|Đồ hoạ|Apple Intelligence",apple,0,manufacturer|hdd_sdd|nhu_cau_su_dung|nhu_cau_su_dung|nhu_cau_su_dung|nhu_cau_su_dung|nhu_cau_su_dung|laptop_ram|laptop_cpu|laptop_screen_size_filter|laptop_resolution_filter|laptop_vga_filter|laptop_special_feature|laptop_special_feature|laptop_filter_tac_vu_su_dung|laptop_filter_tac_vu_su_dung|laptop_nganh_hoc|laptop_nganh_hoc|laptop_nganh_hoc|laptop_cong_nghe_ai_filter,['1 ĐỔI 1 trong 30 ngày nếu có lỗi phần cứng nhà sản xuất. Bảo hành 12 tháng tại trung tâm bảo hành chính hãng Apple: CareS.vn'],1.24,apple-macbook-air-13-m4-10cpu-10gpu-16gb-512gb-2025.html,apple-macbook-air-13-m4-10cpu-10gpu-16gb-512gb-2025,macos,2560.0,apple,5.3,1,1664.0,LPDDR5X,m4,512GB,card tích hợp,Cổng sạc MagSafe 3<br> Jack cắm tai nghe 3.5 mm<br> Hai cổng Thunderbolt 4 (USB-C) hỗ trợ: Sạc  / DisplayPort / Thunderbolt 4 (lên đến 40Gb/s) / USB 4 (lên đến 40Gb/s),304.1,215.0,11.3,Màn hình Liquid Retina <br>Có đèn nền LED<br>Mật độ 224 pixel mỗi inch<br>Độ sáng 500 nit<br>Hỗ trợ một tỷ màu<br>Dải màu rộng (P3)<br>Công nghệ True Tone,53.8,full hd,"Hệ thống âm thanh bốn loa<br> Hỗ trợ Âm Thanh Không Gian khi phát nhạc hoặc video với Dolby Atmos trên loa tích hợp<br> Âm Thanh Không Gian với khả năng theo dõi chuyển động đầu chủ động khi sử dụng AirPods, AirPods Pro, và AirPods Max",0.0,,7500.0,10.0,Tấm nền IPS,31990000.0,31490000.0,,,,,120.0
94083,MacBook Pro 14 M4 10CPU 10GPU 16GB 512GB,/t/e/text_ng_n_1__6_135.png,14.2,512.0,"['Cung cấp hiệu năng mạnh mẽ với 10 nhân CPU và 10 nhân GPU, đáp ứng tốt nhu cầu công việc hàng ngày và các tác vụ sáng tạo cơ bản.', 'RAM 16GB đủ dùng cho đa số người dùng, cho phép chạy nhiều ứng dụng cùng lúc mà không gặp quá nhiều vấn đề về hiệu năng.', 'Ổ cứng SSD 512GB tốc độ cao, giúp khởi động máy và mở ứng dụng nhanh chóng.', 'Màn hình Liquid Retina XDR 14.2 inch sắc nét với công nghệ ProMotion, mang lại trải nghiệm hình ảnh mượt mà và sống động.']",0,vỏ kim loại,['Bảo mật vân tay'],"['lập trình', 'đồ hoạ']",16.0,16.0,"['Máy mới 100%, đầy đủ phụ kiện từ nhà sản xuất. Sản phẩm có mã SA/A (được Apple Việt Nam phân phối chính thức).']",512.0,"['học tập - văn phòng', 'đồ họa - kỹ thuật', 'cao cấp - sang trọng', 'mỏng nhẹ', 'laptop sáng tạo nội dung']",apple,"Apple|512GB|Học tập - Văn phòng|Đồ họa - Kỹ thuật|Cao cấp - Sang trọng|Mỏng nhẹ|Laptop sáng tạo nội dung|16GB|Apple M4|Khoảng 14 inch|3K|Card Onboard|Bảo mật vân tay|Đồ hoạ 3D, chỉnh sửa video|Lập trình |Đồ hoạ|Apple Intelligence",apple,0,manufacturer|hdd_sdd|nhu_cau_su_dung|nhu_cau_su_dung|nhu_cau_su_dung|nhu_cau_su_dung|nhu_cau_su_dung|laptop_ram|laptop_cpu|laptop_screen_size_filter|laptop_resolution_filter|laptop_vga_filter|laptop_special_feature|laptop_filter_tac_vu_su_dung|laptop_nganh_hoc|laptop_nganh_hoc|laptop_cong_nghe_ai_filter,['1 ĐỔI 1 trong 30 ngày nếu có lỗi phần cứng nhà sản xuất. Bảo hành 12 tháng tại trung tâm bảo hành chính hãng Apple: CareS.vn'],1.55,macbook-pro-14-inch-m4-16gb-512gb.html,macbook-pro-14-inch-m4-16gb-512gb,macos,3024.0,apple,5.3,1,1964.0,LPDDR5,m4,512GB,card tích hợp,"Khe thẻ nhớ SDXC<br> Cổng HDMI<br> Jack cắm tai nghe 3.5 mm<br> Cổng MagSafe 3<br> Ba cổng Thunderbolt 4 (USB‑C) hỗ trợ: Sạc, DisplayPort, Thunderbolt 4 (lên đến 40Gb/s), USB 4 (lên đến 40Gb/s)",312.6,221.2,15.5,"Màn hình Liquid Retina XDR<br> XDR (Extreme Dynamic Range)<br> Độ sáng XDR: 1.000 nit ở chế độ toàn màn hình, độ sáng đỉnh 1.600 nit (chỉ nội dung HDR)<br> 1 tỷ màu<br> Dải màu rộng (P3)<br> Công nghệ True Tone<br> Hỗ trợ tối đa hai màn hình ngoài",72.4,full hd,Hệ thống âm thanh sáu loa có độ trung thực cao với loa trầm khử lực<br> Âm thanh stereo rộng<br> Âm Thanh Không Gian với khả năng theo dõi chuyển động đầu chủ động khi sử dụng AirPods (thế hệ thứ 3  trở lên),0.0,,7500.0,10.0,,39990000.0,39090000.0,,120.0,,,
