product_id,name,manufacturer,vga_type,width_mm,height_mm,depth_mm,display_type,battery_capacity,laptop_camera,ram_slots,cpu_model,ram_speed,cpu_cores,laptop_tam_nen_man_hinh,root_price,cpu_max_speed,refresh_rate,cpu_threads,cpu_speed,vga_vram
75443,Laptop Gaming Acer Nitro V ANV15-51-58AN,acer,card rời,362.3,239.9,22.9,250 nits<br>Acer ComfyView LED-backlit TFT LCD<br>45% NTSC,57.0,hd,2.0,13420H,5200.0,8.0,Tấm nền IPS,21490000.0,4.6,144.0,12.0,,4.0
49568,Apple MacBook Air M2 2024 8CPU 8GPU 16GB 256GB I Chnh hng Apple Vit Nam,apple,card tích hợp,304.1,215.0,11.3,Liquid Retina Display,52.6,full hd,0.0,,6400.0,8.0,Tấm nền IPS,24990000.0,,,,,
101832,MacBook Air M4 13 inch 2025 10CPU 8GPU 16GB 256GB,apple,card tích hợp,304.1,215.0,11.3,Màn hình Liquid Retina <br>Có đèn nền LED<br>Mật độ 224 pixel mỗi inch<br>Độ sáng 500 nit<br>Hỗ trợ một tỷ màu<br>Dải màu rộng (P3)<br>Công nghệ True Tone,53.8,full hd,0.0,,7500.0,10.0,Tấm nền IPS,26990000.0,,,,,120.0
100664,Laptop HP 250 G9 AG2K7AT,hp,card tích hợp,358.0,242.0,19.9,Màn hình chống chói,41.04,hd,2.0,1235U,3200.0,10.0,Tấm nền IPS,19190000.0,4.4,,,,
78296,MacBook Air M3 13 inch 2024 8CPU 8GPU 16GB - 256GB sc 30W,apple,card tích hợp,,,,True Tone,30.0,full hd,0.0,,6400.0,8.0,,27990000.0,,,,,
87098,Laptop Acer Aspire Lite AL16-51P-55N7 NX.KX0SV.001,acer,card tích hợp,357.6,247.0,18.9,Độ sáng 300 nits<br>Độ phủ màu 45% NTSC<br>Acer ComfyView,58.0,full hd,2.0,1235U,2400.0,10.0,Tấm nền IPS,14990000.0,4.4,60.0,12.0,3.3,
79551,Laptop ASUS  Vivobook 14 OLED A1405VA-KM257W,asus,card tích hợp,317.1,222.0,19.9,Thời gian phản hồi 0.2ms<br> Độ sáng tối đa 600 nits HDR<br> Độ phủ màu 100% DCI-P3<br> Gamut mapping<br> Display HDR True Black 600<br> 1.07 tỷ màu<br> Giảm 70% ánh sáng xanh<br> Màn hình chăm sóc mắt của SGS,50.0,hd,2.0,13500H,,12.0,Tấm nền Oled,20990000.0,4.7,90.0,16.0,2.6,
101839,MacBook Air M4 13 inch 2025 10CPU 10GPU 16GB 512GB,apple,card tích hợp,304.1,215.0,11.3,Màn hình Liquid Retina <br>Có đèn nền LED<br>Mật độ 224 pixel mỗi inch<br>Độ sáng 500 nit<br>Hỗ trợ một tỷ màu<br>Dải màu rộng (P3)<br>Công nghệ True Tone,53.8,full hd,0.0,,7500.0,10.0,Tấm nền IPS,31990000.0,,,,,120.0
94083,MacBook Pro 14 M4 10CPU 10GPU 16GB 512GB,apple,card tích hợp,312.6,221.2,15.5,"Màn hình Liquid Retina XDR<br> XDR (Extreme Dynamic Range)<br> Độ sáng XDR: 1.000 nit ở chế độ toàn màn hình, độ sáng đỉnh 1.600 nit (chỉ nội dung HDR)<br> 1 tỷ màu<br> Dải màu rộng (P3)<br> Công nghệ True Tone<br> Hỗ trợ tối đa hai màn hình ngoài",72.4,full hd,0.0,,7500.0,10.0,,39990000.0,,120.0,,,
99127,Laptop HP Gaming Victus 15-FA1139TX 8Y6W3PA,hp,card rời,358.0,255.0,23.5,Màn hình chống chói,52.5,hd,,12450H,3200.0,8.0,Tấm nền IPS,24590000.0,4.4,144.0,,,4.0
